priority_tier,bates_number,filename,file_type,relevance_score,review_reason,estimated_time_minutes,category,notes
P1 IMMEDIATE,TF001583,TF001583.txt,txt,5042,nuclear-evidence,120,legal_filing,Law offices document with 408 mining keyword hits - HIGHEST ENHANCED SCORE requires full analysis
P1 IMMEDIATE,TF002645,TF002645.pdf,pdf,205,nuclear-evidence,90,document_destruction,Document destruction evidence with attorney privilege markers - nuclear smoking gun
P1 IMMEDIATE,TF002780,TF002780.pdf,pdf,185,nuclear-evidence,75,county_collusion,Portland cement coordination network - competitor coordination evidence
P1 IMMEDIATE,TF006665,TF006665.pdf,pdf,168,nuclear-evidence,60,regulatory_coordination,Kanter Declaration with attack window coordination - admits knowing vested rights
P1 IMMEDIATE,TF002413,TF002413.pdf,pdf,160,nuclear-evidence,45,chain_of_title,Wilson mayoral direction with attorney coordination - authority overreach
P1 IMMEDIATE,TF005786,TF005786.pdf,pdf,138,nuclear-evidence,30,regulatory_coordination,Enhanced nuclear evidence with Portland cement references
P1 IMMEDIATE,TF001798,TF001798_audio.mp3,audio,25,audio,45,regulatory_coordination,Utah DAQ Susan Weissberg coordination call - identical file signature (841418 bytes)
P1 IMMEDIATE,TF001812,TF001812_audio.mp3,audio,25,audio,45,regulatory_coordination,Utah DAQ Susan Weissberg coordination call - identical file signature (841418 bytes)
P1 IMMEDIATE,TF002023,TF002023_audio.mp3,audio,25,audio,45,regulatory_coordination,Utah DAQ Susan Weissberg coordination call - identical file signature (841418 bytes)
P1 IMMEDIATE,TF002037,TF002037_audio.mp3,audio,25,audio,45,regulatory_coordination,Utah DAQ Susan Weissberg coordination call - identical file signature (841418 bytes)
P1 IMMEDIATE,TF002138,TF002138_audio.mp3,audio,25,audio,45,regulatory_coordination,Utah DAQ Susan Weissberg coordination call - identical file signature (841418 bytes)
P1 IMMEDIATE,TF002402,TF002402_audio.mp3,audio,25,audio,45,regulatory_coordination,Utah DAQ Susan Weissberg coordination call - identical file signature (841418 bytes)
P1 IMMEDIATE,TF002495,TF002495_audio.mp3,audio,25,audio,45,regulatory_coordination,Utah DAQ Susan Weissberg coordination call - identical file signature (841418 bytes)
P1 IMMEDIATE,TF002512,TF002512_audio.mp3,audio,25,audio,45,regulatory_coordination,Utah DAQ Susan Weissberg coordination call - identical file signature (841418 bytes)
P1 IMMEDIATE,TF002554,TF002554_audio.mp3,audio,25,audio,45,regulatory_coordination,Utah DAQ Susan Weissberg coordination call - identical file signature (841418 bytes)
